,id,transcription,file,len,OCEAN,scenario,seat,speaker,num_discourse
0,"['BP', 'L04', '004', '0001']",저희가 지금 봐야 되는 게 설치 장소랑 뭘 팔지네요.,0,9,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,1
1,"['BP', 'L04', '004', '0002']",그러니까 계절이 10월이니까 쌀쌀한,0,4,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,2
2,"['BP', 'L01', '001', '0001']",좀 쌀쌀한,0,2,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,1
3,"['BP', 'L04', '004', '0003']",날씨 그럼 뭐 각자 좀 생각을 해볼까요?,0,7,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,3
4,"['BP', 'L04', '004', '0004']",아니면 그냥 저희끼리 얘기를 하는 게 편하신지,0,7,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,4
5,"['BP', 'L04', '004', '0005']",한 1분 정도만 좀 볼까요?,0,5,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,5
6,"['BP', 'L02', '002', '0001']",네,0,1,"[0.5208333333333334, 0.7708333333333333, 0.6041666666666666, 0.625, 0.35416666666666663]",BP,L02,2,1
7,"['BP', 'L01', '001', '0002']",네 이거 처음 보는 거라 좀 봐야 될 것 같아요,0,10,"[0.7708333333333333, 0.5416666666666666, 0.7708333333333333, 0.8125, 0.35416666666666663]",BP,L01,1,2
8,"['BP', 'L04', '004', '0006']",혹시 뭐 얘기를 해보면서 정할까요? 저희,0,6,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,6
9,"['BP', 'L04', '004', '0007']",저부터 의견을 좀 드리자면 일단 뭐부터 팔지를 생각을 해보면 아무래도 10월달 계절이 있다 보니까 지금 보니까 뭐 지역 특산물 판매 부스도 따로 있고 음료수나 뭐 이런 저희가 알 만한 곳들은 다 파는 것 같은데 날씨가 좀 이게 저는 쌀쌀해지지 싶으면 붕어빵은 있는데 오뎅 같은 걸 파는 게 없더라고요,0,48,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,7
10,"['BP', 'L04', '004', '0008']",오뎅이나 오뎅 국물 같은 거 좀 날씨가 쌀쌀해질 때 먹으면 또 괜찮은 것 같아서,0,14,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,8
11,"['BP', 'L04', '004', '0009']",지금 생각해 본 거는 오뎅이나 아니면 지금 연령대가 어 성인 연령대가 되게 많은 걸로 보아서 이게 뭐 제한이 있을지 모르겠지만 약간 맥주 같은 거나 주류 부류를 좀 손에 들고 다니면서 먹을 수 있거나 아니면 테이블 같은 거 놓고 좀 팔 수 있는 그런 것도 약간 괜찮을 것 같거든요,0,48,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,9
12,"['BP', 'L04', '004', '0010']",혹시 뭐 의견이 또 다른 게 있으실까요?,0,7,"[0.39583333333333337, 0.7708333333333333, 0.7291666666666666, 0.8333333333333333, 0.4375]",BP,L04,4,10
